Nome#Descrição#Região#Categoria#Arquivo/Pasta#Projeto#Metadata#
Produção de Leite por Municípios do Brasil#Quantidade de Leite produzido por municípios do Brasil, em Litros, no período de 1974 a 2014, conforme dados censitários do IBGE.#Brasil#Pastagem#pa_br_leite_quantidade_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Valor da Produção de Leite por Municípios do Brasil#Valor da produção de leite por municípios do Brasil, em Cruzeiros, para os anos de 1974 a 1985 e 1990 a 1993, em Cruzados para os anos de 1986 a 1989, em Real para os anos de 1994 a 2014, conforme dados censitários do IBGE.#Brasil#Pastagem#pa_br_leite_valor_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Produção de Carvão Vegetal por Municípios do Brasil#Quantidade de carvão vegetal produzido por municípios do brasil, em Toneladas, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_carvao_vegetal_quantidade_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Valor da Produção de Carvão Vegetal por Municípios do Brasil#Valor da produção de Carvão Vegetal por municípios do Brasil, em Reais, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_carvao_vegetal_valor_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Produção de Lenha por Municípios do Brasil#Quantidade de Lenha produzida por municípios do brasil, em Metros Cúbicos, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_lenha_quantidade_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Valor da Produção de Lenha por Municípios do Brasil#Valor da produção de Lenha por municípios do Brasil, em Reais, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_lenha_valor_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Produção de Madeira por Municípios do Brasil#Quantidade de Madeira produzida por municípios do brasil, em Metros Cúbicos, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_madeira_quantidade_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Valor da Produção de Madeira por Municípios do Brasil#Valor da produção de Madeira por municípios do Brasil, em Reais, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_madeira_valor_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Rebanho Bovino Abatido do Brasil#Quantidade de bovinos abatidos nos municípios brasileiros, para o ano de 2006, segundo o Censo Agropecuário 2006 do IBGE.#Brasil#Pastagem#pa_br_bovinos_abatidos_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Comunidades Tradicionais#Comunidades Tradicionais do Brasil, segundo a Fundação Cultural Palmares.#Brasil#Geopolítico#pa_br_comunidades_tradicionais_250_2015_palmares#LAPIG##1º Trimestre
Balanço Ambiental por Municípios#Áreas de Ativo Ambiental por município, em Hectares.#Brasil#Outros#pa_br_balanço_ambiental_municipio_ni_ni_ufmg#LAPIG#ufmg.zip#1º Trimestre
Balanço Ambiental por Ottobacias de Ordem 12#Áreas de Passivo Ambiental por Ottobacias de Ordem 12, em Hectares.#Brasil#Outros#pa_br_balanço_ambiental_ottobacias_ni_ni_ufmg#LAPIG#ufmg.zip#1º Trimestre
Limite do Matopiba#Região caracterizada pela expansão de uma fronteira agrícola baseada em tecnologias modernas de alta produtividade, criado com as iniciais dos estados do Maranhão, Tocantins, Piauí e Bahia.#Matopiba#Geopolítico#or_mp_matopiba_ni_ni_embrapa#Pastagem.org##2º Trimestre
Uso do Solo do Matopiba#Mapeamento do Uso do Solo na região do Matopiba, a partir da compilação dos dados do TerrClass Amazônia e TerraClass Cerrado.#Matopiba#Uso do Solo#or_mp_uso_solo_na_na_diversas#Pastagem.org##2º Trimestre
Rebanho Bovino do Brasil#Quantidade de bovinos nos municípios brasileiros, para o período de 1974 à 2014.#Brasil#Pastagem#pa_br_bovinos_municipio_250_ibge#Pastagem.org#ibge.zip#2º Trimestre
Alertas de Desmatamento da Amazônia Legal – PRODES#Dados de desmatamentos ocorridos na Amazônia Legal, disponibilizados anualmente, a partir do ano de 2005 até o ano de 2014, produzidos a partir de compilação de dados do PRODES – Monitoramento da Floresta Amazônica Brasileira por Satélite.#Amazônia Legal#Desmatamento#or_al_alertas_desmatamento_prodes_500_inpe#Pastagem.org#prodes_município.zip#3º Trimestre
